#		
#		
#	units definition file	
#		
#		
45	# number of units	
	442.636169 0 1 	# dist/door-id/tekiflag
	714.605530 1 1 	# dist/door-id/tekiflag
	714.605530 2 1 	# dist/door-id/tekiflag
}		
# room_4x4d_4_newmetal		
{		
	1 	# version
	room_4x4d_4_newmetal 	# foldername
	4 4 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	4 	# num doors
	0 	# index
	0 0 0 	# dir/offs/wpindex
	3 	# door links
	766.395752 1 1 	# dist/door-id/tekiflag
	826.842163 2 1 	# dist/door-id/tekiflag
	853.026611 3 1 	# dist/door-id/tekiflag
	1 	# index
	1 1 1 	# dir/offs/wpindex
	3 	# door links
	766.395752 0 1 	# dist/door-id/tekiflag
	708.291138 2 1 	# dist/door-id/tekiflag
	734.475586 3 1 	# dist/door-id/tekiflag
	2 	# index
	2 1 2 	# dir/offs/wpindex
	3 	# door links
	826.842224 0 1 	# dist/door-id/tekiflag
	708.291138 1 1 	# dist/door-id/tekiflag
	486.186188 3 1 	# dist/door-id/tekiflag
	3 	# index
	3 2 3 	# dir/offs/wpindex
	3 	# door links
	853.026733 0 1 	# dist/door-id/tekiflag
	734.475647 1 1 	# dist/door-id/tekiflag
	486.186188 2 1 	# dist/door-id/tekiflag
}		
# room_4x4e_4_newmetal		
{		
	1 	# version
	room_4x4e_4_newmetal 	# foldername
	4 4 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	4 	# num doors
	0 	# index
	0 1 0 	# dir/offs/wpindex
	3 	# door links
	633.746155 1 1 	# dist/door-id/tekiflag
	974.815247 2 1 	# dist/door-id/tekiflag
	805.456970 3 1 	# dist/door-id/tekiflag
	1 	# index
	1 1 1 	# dir/offs/wpindex
	3 	# door links
	633.746155 0 1 	# dist/door-id/tekiflag
	586.301575 2 1 	# dist/door-id/tekiflag
	929.313965 3 1 	# dist/door-id/tekiflag
	2 	# index
	2 2 2 	# dir/offs/wpindex
	3 	# door links
	974.815186 0 1 	# dist/door-id/tekiflag
	586.301514 1 1 	# dist/door-id/tekiflag
	513.016907 3 1 	# dist/door-id/tekiflag
	3 	# index
	3 3 3 	# dir/offs/wpindex
	3 	# door links
	805.456909 0 1 	# dist/door-id/tekiflag
	929.313904 1 1 	# dist/door-id/tekiflag
	513.016907 2 1 	# dist/door-id/tekiflag
}		
# room_4x4f_4_newmetal		
{		
	1 	# version
	room_4x4f_4_newmetal 	# foldername
	4 4 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	4 	# num doors
	0 	# index
	0 2 0 	# dir/offs/wpindex
	3 	# door links
	609.730774 1 1 	# dist/door-id/tekiflag
	1070.010132 2 1 	# dist/door-id/tekiflag
	927.848755 3 1 	# dist/door-id/tekiflag
	1 	# index
	1 2 1 	# dir/offs/wpindex
	3 	# door links
	609.730835 0 1 	# dist/door-id/tekiflag
	800.288330 2 1 	# dist/door-id/tekiflag
	998.136108 3 1 	# dist/door-id/tekiflag
	2 	# index
	3 3 2 	# dir/offs/wpindex
	3 	# door links
	1070.010010 0 1 	# dist/door-id/tekiflag
	800.288330 1 1 	# dist/door-id/tekiflag
	1458.415283 3 1 	# dist/door-id/tekiflag
	3 	# index
	3 0 3 	# dir/offs/wpindex
	3 	# door links
	927.848816 0 1 	# dist/door-id/tekiflag
	998.136047 1 1 	# dist/door-id/tekiflag
	1458.415405 2 1 	# dist/door-id/tekiflag
}		
# room_4x4g_4_newmetal		
{		
	1 	# version
	room_4x4g_4_newmetal 	# foldername
	4 4 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	4 	# num doors
	0 	# index
	0 2 0 	# dir/offs/wpindex
	3 	# door links
	850.045959 1 1 	# dist/door-id/tekiflag
	997.831848 2 1 	# dist/door-id/tekiflag
	680.015198 3 1 	# dist/door-id/tekiflag
	1 	# index
	2 3 1 	# dir/offs/wpindex
	3 	# door links
	850.045898 0 1 	# dist/door-id/tekiflag
	707.837769 2 1 	# dist/door-id/tekiflag
	1020.044373 3 1 	# dist/door-id/tekiflag
	2 	# index
	2 0 2 	# dir/offs/wpindex
	3 	# door links
	997.831787 0 1 	# dist/door-id/tekiflag
	707.837708 1 1 	# dist/door-id/tekiflag
	827.847534 3 1 	# dist/door-id/tekiflag
	3 	# index
	3 1 3 	# dir/offs/wpindex
	3 	# door links
	680.015137 0 1 	# dist/door-id/tekiflag
	1020.044373 1 1 	# dist/door-id/tekiflag
	827.847595 2 1 	# dist/door-id/tekiflag
}		
# room_dan4x4h_2_newmetal		
{		
	1 	# version
	room_dan4x4h_2_newmetal 	# foldername
	4 4 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	2 	# num doors
	0 	# index
	1 3 0 	# dir/offs/wpindex
	1 	# door links
	1086.584595 1 1 	# dist/door-id/tekiflag
	1 	# index
	3 0 1 	# dir/offs/wpindex
	1 	# door links
	1086.584717 0 1 	# dist/door-id/tekiflag
}		
# room_north_1_newmetal		
{		
	1 	# version
	room_north_1_newmetal 	# foldername
	5 5 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	1 	# num doors
	0 	# index
	2 2 0 	# dir/offs/wpindex
	0 	# door links
}		
# room_north4_1_newmetal		
{		
	1 	# version
	room_north4_1_newmetal 	# foldername
	5 5 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	1 	# num doors
	0 	# index
	2 2 0 	# dir/offs/wpindex
	0 	# door links
}		
# room_dan4x4i_3_newmetal		
{		
	1 	# version
	room_dan4x4i_3_newmetal 	# foldername
	4 4 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	3 	# num doors
	0 	# index
	1 3 0 	# dir/offs/wpindex
	2 	# door links
	680.062744 1 1 	# dist/door-id/tekiflag
	1141.262817 2 1 	# dist/door-id/tekiflag
	1 	# index
	3 3 1 	# dir/offs/wpindex
	2 	# door links
	680.062805 0 1 	# dist/door-id/tekiflag
	1621.302734 2 1 	# dist/door-id/tekiflag
	2 	# index
	3 0 2 	# dir/offs/wpindex
	2 	# door links
	1141.262939 0 1 	# dist/door-id/tekiflag
	1621.302856 1 1 	# dist/door-id/tekiflag
}		
# room_hitode3x3m_5_newmetal		
{		
	1 	# version
	room_hitode3x3m_5_newmetal 	# foldername
	3 3 	# dX/dZ ; cell size
	1 	# room type
	0 0 	# room Flags
	5 	# num doors
	0 	# index
	0 1 0 	# dir/offs/wpindex
	4 	# door links
	492.810730 1 1 	# dist/door-id/tekiflag
	697.709839 2 1 	# dist/door-id/tekiflag
	1037.718872 3 1 	# dist/door-id/tekiflag
	340.017700 4 1 	# dist/door-id/tekiflag
	1 	# index
	1 1 1 	# dir/offs/wpindex
	4 	# door links
	492.810730 0 1 	# dist/door-id/tekiflag
	322.305237 2 1 	# dist/door-id/tekiflag
	662.314270 3 1 	# dist/door-id/tekiflag
	662.823914 4 1 	# dist/door-id/tekiflag
	2 	# index
	2 2 2 	# dir/offs/wpindex
	4 	# door links
	697.709839 0 1 	# dist/door-id/tekiflag
	322.305237 1 1 	# dist/door-id/tekiflag
	809.974426 3 1 	# dist/door-id/tekiflag
	867.723022 4 1 	# dist/door-id/tekiflag
	3 	# index
	2 0 3 	# dir/offs/wpindex
	4 	# door links
	1037.718872 0 1 	# dist/door-id/tekiflag
	662.314331 1 1 	# dist/door-id/tekiflag
	809.974426 2 1 	# dist/door-id/tekiflag
	1207.732056 4 1 	# dist/door-id/tekiflag
	4 	# index
	3 0 4 	# dir/offs/wpindex
	4 	# door links
	340.017700 0 1 	# dist/door-id/tekiflag
	662.823914 1 1 	# dist/door-id/tekiflag
	867.722961 2 1 	# dist/door-id/tekiflag
	1207.732056 3 1 	# dist/door-id/tekiflag
}		
# room_spiral_1_newmetal		
{		
	1 	# version
	room_spiral_1_newmetal 	# foldername
	6 7 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	5 	# num doors
	0 	# index
	0 4 0 	# dir/offs/wpindex
	4 	# door links
	473.273773 1 1 	# dist/door-id/tekiflag
	983.304626 2 1 	# dist/door-id/tekiflag
	1316.151855 3 1 	# dist/door-id/tekiflag
	1769.897095 4 1 	# dist/door-id/tekiflag
	1 	# index
	1 1 1 	# dir/offs/wpindex
	4 	# door links
	473.273773 0 1 	# dist/door-id/tekiflag
	730.047363 2 1 	# dist/door-id/tekiflag
	1062.894653 3 1 	# dist/door-id/tekiflag
	1516.639893 4 1 	# dist/door-id/tekiflag
	2 	# index
	1 4 2 	# dir/offs/wpindex
	4 	# door links
	983.304688 0 1 	# dist/door-id/tekiflag
	730.047363 1 1 	# dist/door-id/tekiflag
	552.863770 3 1 	# dist/door-id/tekiflag
	1006.609070 4 1 	# dist/door-id/tekiflag
	3 	# index
	1 6 3 	# dir/offs/wpindex
	4 	# door links
	1316.151855 0 1 	# dist/door-id/tekiflag
	1062.894531 1 1 	# dist/door-id/tekiflag
	552.863708 2 1 	# dist/door-id/tekiflag
	708.712097 4 1 	# dist/door-id/tekiflag
	4 	# index
	2 2 4 	# dir/offs/wpindex
	4 	# door links
	1769.897095 0 1 	# dist/door-id/tekiflag
	1516.639771 1 1 	# dist/door-id/tekiflag
	1006.609009 2 1 	# dist/door-id/tekiflag
	708.712158 3 1 	# dist/door-id/tekiflag
}		
# room_houdai2_1_metal		
{		
	1 	# version
	room_houdai2_1_metal 	# foldername
	7 7 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	6 	# num doors
	0 	# index
	0 4 0 	# dir/offs/wpindex
	5 	# door links
	1102.626099 1 1 	# dist/door-id/tekiflag
	1340.293213 2 1 	# dist/door-id/tekiflag
	1631.701660 3 1 	# dist/door-id/tekiflag
	1872.120605 4 1 	# dist/door-id/tekiflag
	1552.965820 5 1 	# dist/door-id/tekiflag
	1 	# index
	1 2 1 	# dir/offs/wpindex
	5 	# door links
	1102.626221 0 1 	# dist/door-id/tekiflag
	899.995422 2 1 	# dist/door-id/tekiflag
	1399.120728 3 1 	# dist/door-id/tekiflag
	1639.539673 4 1 	# dist/door-id/tekiflag
	2085.580322 5 1 	# dist/door-id/tekiflag
	2 	# index
	1 6 2 	# dir/offs/wpindex
	5 	# door links
	1340.293213 0 1 	# dist/door-id/tekiflag
	899.995361 1 1 	# dist/door-id/tekiflag
	1291.541138 3 1 	# dist/door-id/tekiflag
	1531.960083 4 1 	# dist/door-id/tekiflag
	2323.247070 5 1 	# dist/door-id/tekiflag
	3 	# index
	2 2 3 	# dir/offs/wpindex
	5 	# door links
	1631.701660 0 1 	# dist/door-id/tekiflag
	1399.120605 1 1 	# dist/door-id/tekiflag
	1291.541138 2 1 	# dist/door-id/tekiflag
	510.013611 4 1 	# dist/door-id/tekiflag
	2614.655518 5 1 	# dist/door-id/tekiflag
	4 	# index
	2 0 4 	# dir/offs/wpindex
	5 	# door links
	1872.120605 0 1 	# dist/door-id/tekiflag
	1639.539429 1 1 	# dist/door-id/tekiflag
	1531.960083 2 1 	# dist/door-id/tekiflag
	510.013611 3 1 	# dist/door-id/tekiflag
	2855.074463 5 1 	# dist/door-id/tekiflag
	5 	# index
	3 4 5 	# dir/offs/wpindex
	5 	# door links
	1552.965576 0 1 	# dist/door-id/tekiflag
	2085.580078 1 1 	# dist/door-id/tekiflag
	2299.841797 2 1 	# dist/door-id/tekiflag
	2180.841064 3 1 	# dist/door-id/tekiflag
	2421.260010 4 1 	# dist/door-id/tekiflag
}		
# room_houdai_3_metal		
{		
	1 	# version
	room_houdai_3_metal 	# foldername
	9 9 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	1 	# num doors
	0 	# index
	2 4 0 	# dir/offs/wpindex
	0 	# door links
}
#end		
